Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
pr,14302018,0,"Wednesday, October 29, 2014 23:23:12 UTC",17.8505,-66.8805,2.1,11.00, 4,"Puerto Rico region"
hv,60795766,2,"Wednesday, October 29, 2014 21:27:54 UTC",19.3058,-155.2127,2.2,1.20,29,"Island of Hawaii, Hawaii"
pr,14302017,0,"Wednesday, October 29, 2014 19:19:25 UTC",18.5722,-66.0627,2.9,105.00, 3,"Puerto Rico region"
pr,14302015,0,"Wednesday, October 29, 2014 18:54:43 UTC",19.0730,-64.2248,3.2,35.00, 3,"Virgin Islands region"
pr,14302016,0,"Wednesday, October 29, 2014 18:13:54 UTC",18.2663,-67.4588,2.7,14.00, 8,"Mona Passage, Puerto Rico"
uw,60912486,1,"Wednesday, October 29, 2014 18:05:44 UTC",45.5943,-121.5617,1.3,0.00,11,"Oregon"
pr,14302007,0,"Wednesday, October 29, 2014 16:59:56 UTC",19.0853,-64.2331,3.4,32.00,10,"Virgin Islands region"
pr,14302013,0,"Wednesday, October 29, 2014 16:49:56 UTC",19.0867,-64.3320,2.1,12.00, 3,"Virgin Islands region"
pr,14302011,0,"Wednesday, October 29, 2014 15:50:27 UTC",18.2229,-68.0559,3.2,88.00, 7,"Mona Passage, Dominican Republic"
hv,60795651,8,"Wednesday, October 29, 2014 15:11:24 UTC",19.3228,-155.1620,1.5,6.50,57,"Island of Hawaii, Hawaii"
pr,14302014,0,"Wednesday, October 29, 2014 15:03:14 UTC",18.9594,-64.2165,2.7,54.00, 3,"Virgin Islands region"
pr,14302012,0,"Wednesday, October 29, 2014 14:58:56 UTC",19.0585,-64.1494,3.0,35.00, 6,"Virgin Islands region"
pr,14302006,0,"Wednesday, October 29, 2014 14:54:17 UTC",19.1105,-64.2443,3.0,30.00, 7,"Virgin Islands region"
pr,14302009,0,"Wednesday, October 29, 2014 14:38:26 UTC",19.0562,-64.1713,3.2,42.00, 3,"Virgin Islands region"
pr,14302010,0,"Wednesday, October 29, 2014 14:33:03 UTC",18.8980,-64.1918,3.3,54.00, 4,"Virgin Islands region"
hv,60795631,6,"Wednesday, October 29, 2014 13:41:21 UTC",19.4223,-155.6097,1.3,2.90,26,"Island of Hawaii, Hawaii"
pr,14302008,0,"Wednesday, October 29, 2014 13:34:54 UTC",19.2185,-64.2086,3.2,52.00, 4,"Virgin Islands region"
pr,14302005,0,"Wednesday, October 29, 2014 13:24:51 UTC",19.1252,-64.2873,3.7,28.00,10,"Virgin Islands region"
pr,14302002,0,"Wednesday, October 29, 2014 10:31:10 UTC",18.0023,-67.0059,2.3,46.00, 5,"Puerto Rico"
pr,14302004,0,"Wednesday, October 29, 2014 09:24:45 UTC",18.9423,-65.3208,2.4,28.00, 4,"Puerto Rico region"
pr,14302001,0,"Wednesday, October 29, 2014 08:53:37 UTC",18.8864,-65.3880,2.3,5.00, 4,"Puerto Rico region"
pr,14302003,0,"Wednesday, October 29, 2014 08:37:56 UTC",18.8612,-63.9822,2.9,25.00, 5,"Virgin Islands region"
hv,60795551,5,"Wednesday, October 29, 2014 07:14:14 UTC",19.4298,-155.6232,2.2,3.80,22,"Island of Hawaii, Hawaii"
hv,60795546,4,"Wednesday, October 29, 2014 07:10:35 UTC",19.4285,-155.6125,2.4,2.90,39,"Island of Hawaii, Hawaii"
pr,14302000,0,"Wednesday, October 29, 2014 02:55:51 UTC",18.6573,-68.5654,3.3,98.00, 5,"Dominican Republic"
pr,14301007,0,"Tuesday, October 28, 2014 21:09:38 UTC",19.1060,-66.4330,2.9,42.00, 9,"Puerto Rico region"
pr,14301005,0,"Tuesday, October 28, 2014 19:07:35 UTC",19.1228,-66.4455,2.8,26.00,10,"Puerto Rico region"
hv,60795271,2,"Tuesday, October 28, 2014 18:43:42 UTC",19.5527,-156.4147,2.1,15.30,26,"Hawaii region, Hawaii"
at,00ne5yqj,1,"Tuesday, October 28, 2014 16:49:31 UTC",20.2380,-64.2440,4.4,31.00, 9,"north of the Virgin Islands"
pr,14301006,0,"Tuesday, October 28, 2014 15:58:21 UTC",18.2777,-63.9244,3.1,27.00, 5,"Virgin Islands region"
uw,60911406,2,"Tuesday, October 28, 2014 12:02:33 UTC",46.4862,-122.3890,1.2,19.30,34,"Washington"
pr,14301003,0,"Tuesday, October 28, 2014 08:50:00 UTC",19.0380,-64.6973,3.2,14.00,12,"Virgin Islands region"
pr,14301004,0,"Tuesday, October 28, 2014 08:05:33 UTC",19.0697,-65.0903,2.4,34.00, 5,"Virgin Islands region"
pr,14301002,0,"Tuesday, October 28, 2014 07:39:45 UTC",18.8384,-65.0672,3.0,5.00,16,"Virgin Islands region"
pr,14301001,0,"Tuesday, October 28, 2014 07:23:56 UTC",19.1483,-66.4497,2.8,30.00,12,"Puerto Rico region"
hv,60795111,3,"Tuesday, October 28, 2014 06:16:20 UTC",19.4583,-155.4097,1.1,9.20,46,"Island of Hawaii, Hawaii"
hv,60795056,3,"Tuesday, October 28, 2014 02:15:59 UTC",19.2227,-155.7162,1.5,7.30,38,"Island of Hawaii, Hawaii"
pr,14301000,0,"Tuesday, October 28, 2014 01:57:29 UTC",18.8113,-65.9300,3.2,132.00, 4,"Puerto Rico region"
uw,60911021,2,"Monday, October 27, 2014 19:39:13 UTC",45.9750,-119.4652,1.9,0.00,10,"Washington"
pr,14300005,0,"Monday, October 27, 2014 18:59:04 UTC",18.4920,-65.0238,3.0,34.00, 5,"Virgin Islands region"
pr,14300004,0,"Monday, October 27, 2014 18:20:10 UTC",18.4185,-67.0142,2.5,103.00, 7,"Puerto Rico"
uw,60910891,1,"Monday, October 27, 2014 18:06:01 UTC",42.0898,-121.8925,2.1,0.00, 8,"Oregon"
pr,14300003,0,"Monday, October 27, 2014 17:13:02 UTC",18.7339,-67.2379,2.5,4.00, 6,"Puerto Rico region"
pr,14300002,0,"Monday, October 27, 2014 17:05:31 UTC",18.4165,-67.4919,3.2,106.00, 7,"Mona Passage, Puerto Rico"
